Дата,День тижня,Початок,Кінець,Перерва (год),Всього годин,Примітки
01.01.2026,Четвер,,,,0,""
02.01.2026,П'ятниця,,,,0,""
03.01.2026,Субота,,,,0,""
04.01.2026,Неділя,,,,0,""
05.01.2026,Понеділок,,,,0,""
06.01.2026,Вівторок,,,,0,""
07.01.2026,Середа,08:00,12:30,,4.50,""
08.01.2026,Четвер,,,,0,""
09.01.2026,П'ятниця,,,,0,""
10.01.2026,Субота,,,,0,""
11.01.2026,Неділя,,,,0,""
12.01.2026,Понеділок,,,,0,""
13.01.2026,Вівторок,,,,0,""
14.01.2026,Середа,,,,0,""
15.01.2026,Четвер,,,,0,""
16.01.2026,П'ятниця,,,,0,""
17.01.2026,Субота,,,,0,""
18.01.2026,Неділя,,,,0,""
19.01.2026,Понеділок,,,,0,""
20.01.2026,Вівторок,,,,0,""
21.01.2026,Середа,,,,0,""
22.01.2026,Четвер,,,,0,""
23.01.2026,П'ятниця,,,,0,""
24.01.2026,Субота,,,,0,""
25.01.2026,Неділя,,,,0,""
26.01.2026,Понеділок,,,,0,""
27.01.2026,Вівторок,,,,0,""
28.01.2026,Середа,,,,0,""
29.01.2026,Четвер,,,,0,""
30.01.2026,П'ятниця,,,,0,""
31.01.2026,Субота,,,,0,""

,,,,,4.5,Всього годин за місяць
,,,,,66,Мінімум годин
